Generation,Max,Min,Mean,Std,Cost Time
125.0,3237.288330078125,-48.544227600097656,1190.6636962890625,862.924560546875,4.333388566970825
126.0,3270.1904296875,-65.02955627441406,1216.0469970703125,902.3258056640625,4.375534772872925
127.0,3290.37646484375,-72.3387222290039,1174.9249267578125,903.4871215820312,4.340453386306763
128.0,3295.45849609375,-53.097877502441406,1084.3238525390625,887.1266479492188,4.077932119369507
129.0,3304.089111328125,-25.83562469482422,1137.2264404296875,918.1043701171875,4.1783061027526855
130.0,3305.05615234375,-55.05659866333008,1136.332275390625,853.2766723632812,4.174924612045288
131.0,3298.8125,-89.58428192138672,999.8058471679688,882.4281616210938,4.204232215881348
132.0,3261.184326171875,-44.91057586669922,1111.26904296875,879.0028686523438,4.380579710006714
133.0,3259.6748046875,-54.27409362792969,1182.8179931640625,904.92529296875,4.2662129402160645
134.0,3287.8017578125,-61.038002014160156,1134.372314453125,915.045166015625,4.32491397857666
135.0,3358.03076171875,-80.27313232421875,1167.0428466796875,889.2882080078125,4.351410388946533
136.0,3305.01611328125,-32.485809326171875,1149.5498046875,898.026611328125,4.3981873989105225
137.0,3301.163818359375,-16.65345001220703,1131.899658203125,875.8475341796875,4.30530858039856
138.0,3345.939453125,-52.83464050292969,1229.20849609375,894.93359375,4.349917650222778
139.0,3406.402099609375,-44.68208694458008,1245.823486328125,900.291015625,4.4170708656311035
140.0,3329.43115234375,-58.95890808105469,1243.0972900390625,893.63232421875,4.340097904205322
141.0,3298.735107421875,-26.54281234741211,1233.2850341796875,907.0358276367188,4.355833053588867
142.0,3313.987548828125,-13.471012115478516,1204.925048828125,926.7314453125,4.339478254318237
143.0,3316.669189453125,-85.23191833496094,1128.1529541015625,905.4295043945312,4.241758108139038
144.0,3296.516357421875,-56.026222229003906,1119.226806640625,905.9212646484375,4.23728346824646
145.0,3334.689453125,-41.878257751464844,1135.75341796875,903.2415771484375,4.267118453979492
146.0,3359.298828125,-63.264949798583984,1149.0828857421875,900.9671630859375,4.47367787361145
147.0,3364.248291015625,-66.85025024414062,1163.7852783203125,925.044921875,4.336003065109253
148.0,3365.941162109375,-102.94956970214844,1115.9827880859375,889.9271850585938,4.342280149459839
149.0,3330.271484375,-66.57849884033203,1141.0362548828125,922.163818359375,4.2937915325164795
150.0,3337.5771484375,-42.678565979003906,1145.5733642578125,940.2272338867188,4.330565690994263
151.0,3353.14697265625,-44.232784271240234,1222.321533203125,933.572021484375,4.455445766448975
152.0,3361.406005859375,-66.02123260498047,1172.1390380859375,913.8692626953125,4.3431947231292725
153.0,3371.380615234375,-62.838111877441406,1212.749267578125,890.4967651367188,4.374777793884277
154.0,3366.7138671875,-40.000267028808594,1139.6534423828125,855.280517578125,4.348877429962158
155.0,3360.9609375,-13.05245304107666,1253.8846435546875,890.85888671875,4.366913795471191
156.0,3363.837646484375,-43.667701721191406,1219.780029296875,901.543212890625,4.358245372772217
157.0,3345.65673828125,-44.2615852355957,1202.2987060546875,896.308349609375,4.408853769302368
158.0,3364.084228515625,-64.25624084472656,1158.915771484375,888.0746459960938,4.30001974105835
159.0,3347.267822265625,-58.133079528808594,1197.172119140625,875.1839599609375,4.376778602600098
160.0,3363.809326171875,-47.38102722167969,1114.94775390625,864.0467529296875,4.35710334777832
